exerciseName,exerciseType,rep,holdTime,set,targetArea,difficulty,equipmentNeeded,aiTrackingEnabled,description,demoVideo,image,intensity,intended_effects,contraindications,movement_plane,progressions
scapular retraction,repetition,6.0,,3,chest,medium,None,True,Scapular Retraction: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/209.mp4,https://example.com/image/209.jpg,high,mobility,none,sagittal,none
side-lying abduction,repetition,20.0,,3,pelvis,easy,Wall,True,Side-Lying Abduction: Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/210.mp4,https://example.com/image/210.jpg,low,mobility,none,sagittal,intermediate variation
neck lateral flexion,repetition,10.0,,3,neck,easy,None,True,Neck Lateral Flexion: Perform as instructed to mobilize/strengthen the neck region. Controlled movement and breathing.,https://example.com/video/211.mp4,https://example.com/image/211.jpg,low,"mobility, postural_control",avoid_for_acute_injury,sagittal,intermediate variation
external rotation (standing) - left,hold,,30.0,3,shoulder,easy,Foam Roller,True,External Rotation (Standing) - Left: Perform as instructed to mobilize/strengthen the shoulder region. Controlled movement and breathing.,https://example.com/video/212.mp4,https://example.com/image/212.jpg,low,"mobility, strengthening",avoid_overhead_if_painful,sagittal,intermediate variation
elbow extension,repetition,8.0,,3,elbow,easy,None,True,Elbow Extension: Perform as instructed to mobilize/strengthen the elbow region. Controlled movement and breathing.,https://example.com/video/213.mp4,https://example.com/image/213.jpg,low,mobility,none,sagittal,intermediate variation
grip strengthening - right,repetition,12.0,,3,wrist/hand,hard,None,True,Grip Strengthening - Right: Perform as instructed to mobilize/strengthen the wrist/hand region. Controlled movement and breathing.,https://example.com/video/214.mp4,https://example.com/image/214.jpg,high,"mobility, neural_glide",none,sagittal,none
cat-cow (isometric),repetition,12.0,,3,spine/core,easy,None,True,Cat-Cow (Isometric): Perform as instructed to mobilize/strengthen the spine/core region. Controlled movement and breathing.,https://example.com/video/215.mp4,https://example.com/image/215.jpg,low,"stability, posture_control",avoid_heavy_loads,sagittal,intermediate variation
hip flexor stretch,hold,,20.0,3,hip,easy,None,True,Hip Flexor Stretch: Perform as instructed to mobilize/strengthen the hip region. Controlled movement and breathing.,https://example.com/video/216.mp4,https://example.com/image/216.jpg,low,"mobility, strengthening",none,sagittal,intermediate variation
mini squat (isometric) - left,hold,,20.0,3,knee,medium,Resistance Band,True,Mini Squat (Isometric) - Left: Perform as instructed to mobilize/strengthen the knee region. Controlled movement and breathing.,https://example.com/video/217.mp4,https://example.com/image/217.jpg,high,"strengthening, range_of_motion",avoid_high_impact,sagittal,none
balance on single leg (standing),repetition,10.0,,3,ankle/foot,medium,None,True,Balance on Single Leg (Standing): Perform as instructed to mobilize/strengthen the ankle/foot region. Controlled movement and breathing.,https://example.com/video/218.mp4,https://example.com/image/218.jpg,high,"balance, proprioception",none,sagittal,none
thoracic extension on foam roller - left - right,hold,,30.0,3,chest,medium,None,True,Thoracic Extension on Foam Roller - Left - Right: Perform as instructed to mobilize/strengthen the chest region. Controlled movement and breathing.,https://example.com/video/219.mp4,https://example.com/image/219.jpg,high,mobility,none,sagittal,none
piriformis stretch (slow),hold,,20.0,3,pelvis,medium,None,True,Piriformis Stretch (Slow): Perform as instructed to mobilize/strengthen the pelvis region. Controlled movement and breathing.,https://example.com/video/220.mp4,https://example.com/image/220.jpg,high,mobility,none,sagittal,none
